size_sqm,bedrooms,location,price
139.87,5,Suburban,323034.13
114.47,4,Downtown,448410.0
145.91,5,Industrial,262857.31
180.92,7,Suburban,421856.39
110.63,5,Downtown,442113.53
110.63,4,Industrial,197625.78
183.17,8,City Center,624604.54
150.7,6,Suburban,369258.78
101.22,4,City Center,353093.07
141.7,6,Rural,199065.4
101.46,5,Industrial,198151.94
101.37,4,Industrial,186266.21
129.68,5,Suburban,315132.98
43.47,2,Industrial,92562.19
51.0,2,Rural,79072.29
97.51,4,Industrial,178345.75
79.49,2,Downtown,306273.64
132.57,6,City Center,451867.68
83.68,3,Rural,120250.04
63.51,3,Rural,86289.85
178.63,7,City Center,599977.85
110.97,4,City Center,374607.84
122.7,5,Rural,178226.13
63.01,2,City Center,217486.22
98.22,5,Suburban,236546.38
124.44,4,City Center,412793.71
73.96,2,Downtown,272324.9
135.03,5,Downtown,514384.72
95.97,4,Suburban,229711.9
108.33,4,City Center,355679.75
95.93,3,Downtown,371853.07
194.09,8,Industrial,362268.69
119.46,5,City Center,410694.33
77.69,3,Suburban,181260.13
152.9,6,City Center,521773.39
71.17,4,Rural,115799.25
128.35,6,Rural,194112.54
41.61,1,Downtown,163071.18
66.87,3,Rural,97929.56
127.87,5,Suburban,296602.9
149.54,6,Downtown,579123.32
126.85,4,Suburban,285735.46
115.37,5,Suburban,276113.14
107.96,4,Rural,140505.85
60.86,3,Rural,87948.12
91.21,4,Suburban,229035.46
101.57,3,Rural,138447.45
162.28,6,Rural,224327.89
133.74,6,Rural,184780.73
49.48,2,City Center,178088.18
132.96,6,Suburban,322048.72
104.6,4,Industrial,201473.06
92.92,4,Suburban,231535.24
144.47,6,Downtown,571784.68
161.24,6,Rural,222931.98
157.25,6,Rural,219305.2
86.43,4,Industrial,161413.95
107.63,4,Downtown,411418.27
133.25,5,City Center,448104.61
159.02,6,Suburban,387433.61
100.83,4,City Center,333755.09
112.57,5,Downtown,444150.74
75.75,3,Industrial,138970.9
72.15,2,Downtown,276794.07
152.5,6,Industrial,279500.55
174.25,7,City Center,599840.8
117.12,5,City Center,397774.79
160.14,7,Downtown,627444.61
134.47,5,Downtown,522957.04
94.2,4,Rural,125908.21
134.46,5,Industrial,254460.74
181.52,7,Rural,249829.46
118.57,5,Suburban,287806.92
182.59,7,Suburban,440549.49
30.0,1,Downtown,120329.0
152.88,6,City Center,522510.3
123.48,5,Suburban,303542.77
108.04,5,Suburban,260793.41
123.67,5,Rural,174334.43
40.5,2,Rural,66250.24
111.21,4,Suburban,264747.25
134.28,5,Downtown,524625.76
179.12,7,Rural,256773.76
99.27,3,Suburban,222247.38
87.66,4,City Center,293318.77
99.93,5,Rural,146690.72
156.62,6,Suburban,383127.17
133.15,6,Industrial,254000.07
98.81,4,Rural,140300.59
140.53,5,Industrial,268836.05
123.88,4,Rural,160645.1
158.75,6,Rural,217579.8
91.92,3,Industrial,172234.81
106.89,5,Downtown,423999.3
104.32,4,Suburban,256184.35
61.46,2,Downtown,233280.91
131.84,6,Downtown,528141.84
130.44,5,Suburban,312217.42
120.2,4,City Center,408563.61
110.62,4,Downtown,428513.8
63.39,3,Downtown,249664.1
103.17,4,Downtown,403258.65
106.29,4,City Center,367468.26
87.91,4,Rural,129252.91
113.55,5,Industrial,226509.86
136.16,6,Industrial,266094.05
195.45,7,City Center,653572.31
126.98,5,Downtown,493243.89
130.3,5,Industrial,251248.02
117.02,5,City Center,393009.49
43.25,1,Suburban,100513.3
118.94,6,Industrial,236757.17
122.41,5,Suburban,296568.42
218.53,8,Downtown,840238.9
112.31,4,Industrial,215097.34
132.06,6,City Center,465679.68
118.61,6,Rural,177854.53
73.25,3,Industrial,146152.32
165.71,6,Industrial,303601.37
150.08,6,Industrial,281376.98
151.64,5,Industrial,286262.92
83.62,3,City Center,289513.51
176.11,7,City Center,590969.32
63.93,3,Rural,85816.96
143.47,6,City Center,500270.85
207.62,8,City Center,703537.68
80.38,3,Downtown,311291.91
97.35,4,Downtown,382846.32
123.99,5,Suburban,295398.11
99.86,4,Rural,131830.97
57.97,3,Downtown,229678.12
122.74,5,Rural,173426.52
77.51,3,Rural,110364.85
138.94,6,Industrial,275447.55
83.22,3,Rural,113055.03
182.0,7,Industrial,347636.06
88.67,4,Suburban,219965.74
107.12,5,Suburban,272720.08
152.54,6,Suburban,368504.38
70.77,3,Industrial,142950.14
129.1,5,Industrial,249980.6
172.29,7,Suburban,406923.42
55.7,3,Industrial,105302.01
127.39,5,City Center,441197.06
130.4,6,City Center,453352.94
151.27,6,Industrial,282433.37
70.52,3,Industrial,144517.96
67.18,3,Downtown,270319.07
140.88,6,Downtown,560744.82
131.88,5,Rural,183194.39
130.02,6,Rural,182721.71
133.86,5,Rural,182692.93
92.8,4,Suburban,234887.02
129.29,5,City Center,442412.44
131.72,5,Suburban,315704.8
91.43,4,Industrial,170060.91
194.63,8,Downtown,757862.43
138.95,7,Industrial,270450.98
72.35,3,Industrial,142476.79
146.26,5,Downtown,567633.51
81.01,3,Industrial,152829.1
151.48,5,Rural,208003.38
166.34,7,Downtown,646428.38
87.17,3,Industrial,159968.06
158.54,7,Rural,230427.05
136.51,6,Rural,202234.24
152.88,6,City Center,521366.22
195.87,8,Rural,269011.72
110.18,4,Suburban,262089.95
89.85,3,Downtown,337063.94
84.42,4,Downtown,336041.98
87.37,3,Downtown,332455.56
116.92,4,Industrial,224362.9
133.65,5,Industrial,245473.12
131.07,6,Suburban,326436.26
153.09,7,Rural,221487.33
120.52,4,Industrial,218284.11
178.14,6,Rural,231951.36
109.41,4,Rural,145493.73
228.81,8,Industrial,420618.15
145.03,6,Industrial,271693.04
85.71,3,Suburban,202482.4
77.16,3,City Center,271252.9
139.3,6,Downtown,555298.14
111.06,5,Industrial,210392.23
148.56,5,Industrial,263877.03
138.93,5,Rural,179921.5
117.09,5,City Center,395770.53
86.13,3,Industrial,149585.38
59.41,3,City Center,206223.33
102.14,4,Downtown,404228.91
154.26,6,Rural,221820.95
128.56,5,Suburban,303944.5
70.17,3,Downtown,267661.57
126.93,4,City Center,422875.71
135.41,5,City Center,460117.09
84.65,4,Downtown,337869.96
126.15,5,City Center,437960.01
122.33,4,Suburban,274810.7
74.28,3,Suburban,178308.38
134.31,5,City Center,451612.48
142.43,5,City Center,473588.14
163.32,7,Suburban,396218.1
162.15,7,City Center,548871.25
64.89,4,Industrial,143318.84
82.49,4,Rural,113557.0
140.6,6,Industrial,279540.12
140.55,5,City Center,476439.31
140.6,5,City Center,478111.72
274.11,8,Rural,354176.26
142.84,6,City Center,486313.86
165.42,6,Rural,233996.63
158.16,6,Suburban,373718.14
146.06,6,Rural,208257.65
107.39,4,Rural,140361.23
150.36,6,Industrial,293436.15
89.09,4,City Center,308572.97
110.53,4,Suburban,264681.51
100.59,4,Downtown,383394.1
123.27,4,Rural,171575.97
212.59,8,Downtown,821693.2
45.31,2,City Center,161027.18
147.45,6,Rural,210835.41
55.49,2,Downtown,212863.78
101.12,6,Industrial,203295.09
163.56,6,Downtown,640915.08
122.57,5,Industrial,234629.8
76.89,3,Suburban,192228.42
